YAB Dato' Seri Anwar Bin Ibrahim,Anwar Bin Ibrahim,PH,P063,Tambun,Lelaki,"Sunday, 10 August 1947"
YAB Dato' Seri Dr. Ahmad Zahid Bin Hamidi,Ahmad Zahid Bin Hamidi,BN,P075,Bagan Datuk,Lelaki,"Wednesday, 14 January 1953"
YAB Dato' Sri Haji Fadillah Bin Yusof,Fadillah Bin Yusof,GPS,P194,Petra Jaya,Lelaki,"Tuesday, 17 April 1962"
YB Tuan Loke Siew Fook,Loke Siew Fook,PH,P128,Seremban,Lelaki,"Thursday, 5 February 1976"
YB Datuk Seri Haji Mohamad Bin Sabu,Mohamad Bin Sabu,PH,P111,Kota Raja,Lelaki,"Thursday, 14 October 1954"
YB Tuan Mohd Rafizi Bin Ramli,Mohd Rafizi Bin Ramli,PH,P100,Pandan,Lelaki,"Wednesday, 14 September 1977"
YB Tuan Nga Kor Ming,Nga Kor Ming,PH,P076,Teluk Intan,Lelaki,"Saturday, 11 November 1972"
YB Dato' Seri Utama Mohamad Bin Haji Hasan,Utama Mohamad Bin Haji Hasan,BN,P131,Rembau,Lelaki,"Wednesday, 2 May 1956"
YB Dato Sri Alexander Nanta Linggi,Alexander Nanta Linggi,GPS,P215,Kapit,Lelaki,"Monday, 16 June 1958"
YB Datuk Seri Haji Mohamed Khaled Bin Nordin,Mohamed Khaled Bin Nordin,BN,P156,Kota Tinggi,Lelaki,"Sunday, 30 November 1958"
YB Tuan Chang Lih Kang,Chang Lih Kang,PH,P077,Tanjong Malim,Lelaki,"Thursday, 23 October 1980"
YB Dato' Sri Hajah Nancy Binti Haji Shukri,Hajah Nancy Binti Haji Shukri,GPS,P193,Santubong,Perempuan,"Saturday, 5 August 1961"
YB Datuk Seri Salahuddin Bin Ayub,Salahuddin Bin Ayub,PH,P161,Pulai,Lelaki,"Friday, 1 December 1961"
YB Dato' Sri Azalina Binti Othman,Azalina Binti Othman,BN,P157,Pengerang,Perempuan,"Tuesday, 31 December 1963"
YB Tuan Nik Nazmi Bin Nik Ahmad,Nik Nazmi Bin Nik Ahmad,PH,P118,Setiawangsa,Lelaki,"Tuesday, 12 January 1982"
YB Datuk Ewon Benedick,Ewon Benedick,PH,P174,Penampang,Lelaki,"Sunday, 1 August 1982"
YB Dato' Seri Tiong King Sing,Tiong King Sing,GPS,P217,Bintulu,Lelaki,"Sunday, 3 September 1961"
YB Tuan Ahmad Fahmi Bin Mohamed Fadzil,Ahmad Fahmi Bin Mohamed Fadzil,PH,P121,Lembah Pantai,Lelaki,"Monday, 1 January 1973"
YB Puan Fadhlina Binti Sidek,Fadhlina Binti Sidek,PH,P047,Nibong Tebal,Perempuan,"Sunday, 16 October 1977"
YB Datuk Aaron Ago Anak Dagang,Aaron Ago Anak Dagang,GPS,P210,Kanowit,Lelaki,"Friday, 12 December 1958"
