Tuan Lim Guan Eng,Bagan
Perdana Menteri dan Menteri Kewangan [Dato’ Seri Anwar bin Ibrahim],Tambun
Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal,Machang
Tuan Lee Chean Chung,Petaling Jaya
Dato’ Sri Doris Sophia anak Brodie,Sri Aman
Datuk Seri Dr. Ronald Kiandee,Beluran
Dr. Mohammed Taufiq bin Johari,Sungai Petani
Tuan Hassan bin Abdul Karim,Pasir Gudang
Dato’ Seri Hamzah bin Zainudin,Larut
Dato' Seri Dr. Shahidan bin Kassim,Arau
Dato’ Indera Mohd Shahar bin Abdullah,Paya Besar
Menteri Sains, Teknologi dan Inovasi [Tuan Chang Lih Kang],Tanjong Malim
Datuk Ahmad Amzad bin Mohamed @ Hashim,Kuala Terengganu
Menteri Luar Negeri [Dato’ Seri Utama Haji Mohamad bin Haji Hasan],Rembau
Puan Teresa Kok Suh Sim,Seputeh
Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) [Dato’ Sri Azalina binti Othman Said],Pengerang
Dr. Haji Abd Ghani bin Ahmad,Jerlun
Tuan Ramkarpal Singh a/l Karpal Singh,Bukit Gelugor
Dato' Hajah Siti Zailah binti Mohd Yusoff,Rantau Panjang
Timbalan Menteri Pendidikan [Tuan Wong Kah Woh],Taiping
Timbalan Yang di-Pertua (Dato’ Dr. Ramli bin Dato’ Mohd Nor),Cameron Highlands
Tuan Suhaizan bin Kaiat,Pulai
Tuan Syed Ibrahim bin Syed Noh,Ledang
Tuan Ahmad Tarmizi bin Sulaiman,Sik
Tuan Haji Ahmad Johnie bin Zawawi,Igan
Menteri Pertahanan [Dato' Seri Mohamed Khaled bin Nordin],Kota Tinggi
Tuan Syed Saddiq bin Syed Abdul Rahman,Muar
Dato’ Sri Ikmal Hisham bin Abdul Aziz,Tanah Merah
Datuk Muslimin bin Yahaya,Sungai Besar
Menteri Pembangunan Usahawan dan Koperasi [Datuk Ewon Benedick],Penampang
Tuan Kesavan a/l Subramaniam,Sungai Siput
Tuan Khoo Poay Tiong,Kota Melaka
Tuan Edwin anak Banta,Selangau
Menteri Perladangan dan Komoditi [Datuk Seri Johari bin Abdul Ghani],Titiwangsa
Tuan Haji Bakri bin Jamaluddin,Tangga Batu
Tuan Roslan bin Hashim,Kulim-Bandar Baharu
Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) [Tuan M. Kulasegaran a/l Murugeson],Ipoh Barat
Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],Lanang
Dato’ Rosol bin Wahid,Hulu Terengganu
Dato’ Sri Saifuddin bin Abdullah,Indera Mahkota
Datuk Seri Takiyuddin bin Hassan,Kota Bharu
Tuan Lee Chuan How,Ipoh Timor
Tuan Tan Kar Hing,Gopeng
Dato’ Sri Tuan Ibharim bin Tuan Man,Kubang Kerian
Tuan Ir. Ts. Haji Khairil Nizam bin Khirudin,Jerantut
Dato' Abdul Khalib bin Abdullah,Rompin
Datuk Wira Mas Ermieyati binti Samsudin,Masjid Tanah
Datuk Dr. Radzi bin Jidin,Putrajaya
Tuan Haji Ahmad Fadhli bin Shaari,Pasir Mas
Tuan Sanisvara Nethaji Rayer a/l Rajaji,Jelutong
Tuan Haji Jamaludin bin Yahya,Pasir Salak
Tuan Syahredzan bin Johan,Bangi
Tuan Mohd Sany bin Hamzan,Hulu Langat
Tuan Haji Mohd Hasnizan bin Harun,Hulu Selangor
Dato’ Haji Ahmad bin Saad @ Yahaya,Pokok Sena
Tuan Mohd Azizi bin Abu Naim,Gua Musang
Dato' Khlir bin Mohd Nor,Ketereh
Tuan Wong Chen,Subang
