Tuan Chiew Choon Man,"Miri"
Perdana Menteri dan Menteri Kewangan [Dato' Seri Anwar bin Ibrahim],"Tambun"
Tuan Nurul Amin bin Hamid,"Padang Terap"
Dato' Mohd Isam bin Mohd Isa,"Tampin"
Datuk Haji Awang bin Hashim,"Pendang"
Dato’ Seri Anwar bin Ibrahim,"Pendang"
Datuk Haji Awang bin Hashim,"Pendang"
Tuan Syed Ibrahim bin Syed Noh,"Ledang"
Tuan Haji Aminolhuda bin Hassan,"Sri Gading"
Tuan Syed Saddiq bin Syed Abdul Rahman,"Muar"
Dato’ Seri Dr. Shahidan bin Kassim,"Arau"
Tuan Jimmy Puah Wee Tse,"Tebrau"
Dato' Seri Utama Aminuddin bin Harun,"Port Dickson"
Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Datuk Seri Dr. Noraini binti Ahmad],"Parit Sulong"
Dato’ Siti Zailah binti Mohd Yusoff,"Rantau Panjang"
Datuk Seri Takiyuddin bin Hassan,"Kota Bharu"
Menteri Dalam Negeri [Datuk Seri Saifuddin Nasution bin Ismail],""
Tuan Fong Kui Lun,"Bukit Bintang"
Tuan Lee Chean Chung,"Petaling Jaya"
Timbalan Yang di-Pertua (Puan Alice Lau Kiong Yieng),"Lanang"
Timbalan Menteri Peralihan Tenaga dan Transformasi Air [Tuan Haji Akmal Nasrullah bin Mohd Nasir],"Johor Bahru"
Tuan Ir. Ts. Haji Khairil Nizam bin Khirudin,"Jerantut"
Dato’ Indera Dr. Suhaili bin Abdul Rahman,"Labuan"
Timbalan Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup [Puan Hajah Fuziah binti Salleh],""
Tuan Cha Kee Chin,"Rasah"
Dato' Sri Sh Mohmed Puzi bin Sh Ali,"Pekan"
Timbalan Menteri Kewangan [Puan Lim Hui Ying],"Tanjong"
Dato’ Sri Tuan Ibharim bin Tuan Man,"Kubang Kerian"
Dato’ Sri Saifuddin bin Abdullah,"Indera Mahkota"
Timbalan Menteri Pendidikan Tinggi [Datuk Ts. Mustapha Sakmud],"Sepanggar"
Dato Dr. Richard Rapu @ Aman anak Begri,"Betong"
Tuan Haji Manndzri bin Haji Nasib,"Tenggara"
Menteri Luar Negeri [Dato’ Seri Utama Haji Mohamad bin Haji Hasan],"Rembau"
Tuan Ahmad Tarmizi bin Sulaiman,"Sik"
Tuan Fathul Huzir bin Ayob,"Gerik"
Timbalan Menteri Sumber Asli dan Kelestarian Alam [Dato' Sri Huang Tiong Sii],"Sarikei"
Tuan Roy Angau anak Gingkoi,"Lubok Antu"
Puan Wong Shu Qi,"Kluang"
Datuk Matbali bin Musah,"Sipitang"
Datuk Seri Utama Ir. Hasni bin Mohammad,"Simpang Renggam"
Timbalan Yang di-Pertua (Dato’ Dr. Ramli bin Dato’ Mohd Nor),"Cameron Highlands"
Dato' Abdul Khalib bin Abdullah,"Rompin"
Dato’ Sri Doris Sophia anak Brodie,"Sri Aman"
Dr. Haji Abd Ghani bin Ahmad,"Jerlun"
Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) [Tuan M. Kulasegaran a/l V. Murugeson],"Ipoh Barat"
Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Datuk Seri Dr. Noraini binti Ahmad],""
Perdana Menteri dan Menteri Kewangan [Dato’ Seri Anwar bin Ibrahim],""
Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) [Dato’ Sri Azalina binti Othman Said],"Pengerang"
Tuan Hassan bin Abdul Karim,"Pasir Gudang"
Tuan Wong Chen,"Subang"
Tuan Syahredzan bin Johan,"Bangi"
Datuk Seri Takiyuddin bin Hassan,"Kota Bharu"
Datuk Seri Dr. Ronald Kiandee,"Beluran"
Dato’ Indera Mohd Shahar bin Abdullah,"Paya Besar"
Tuan Lee Chuan How,"Ipoh Timor"
Dato’ Rosol bin Wahid,"Hulu Terengganu"
Dato’ Hajah Mumtaz binti Md Nawi,"Tumpat"
Dato' Sri Saifuddin bin Abdullah,"Indera Mahkota"
Tuan Cha Kee Chin,"Rasah"
Datuk Che Mohamad Zulkifly bin Jusoh,"Besut"
Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal,"Machang"
Datuk Seri Panglima Madius bin Tangau,"Tuaran"
Tuan Afnan Hamimi bin Dato' Haji Taib Azamudden,"Alor Setar"
Datuk Wira Mas Ermieyati binti Samsudin,"Masjid Tanah"
Tuan Sanisvara Nethaji Rayer a/l Rajaji,"Jelutong"
Datuk Wan Saifulruddin bin Wan Jan,"Tasek Gelugor"
Tuan Haji Mohd Misbahul Munir bin Masduki,"Parit Buntar"
Datuk Dr. Radzi bin Jidin,"Putrajaya"
Tuan Chong Zhemin,"Kampar"
Dato' Seri Dr. Shahidan bin Kassim,"Arau"
Menteri Luar Negeri [Dato’ Seri Utama Haji Mohamad bin Haji Hasan],""
Menteri Perladangan dan Komoditi [Datuk Seri Johari bin Abdul Ghani],""
Dr. Mohammed Taufiq bin Johari,"Sungai Petani"
Puan Isnaraissah Munirah binti Majilis @ Fakharudy,"Kota Belud"
Tuan Syahredzan bin Johan,"Bangi"
Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) [Dato’ Sri Azalina binti Othman Said],""
Datuk Seri Panglima Moktar bin Radin,"Kinabatangan"
Dato’ Sri Azalina Othman Said,"Pengerang"
Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) [Tuan M. Kulasegaran a/l V. Murugeson],""
Puan Syerleena binti Abdul Rashid,"Bukit Bendera"
Tuan William Leong Jee Keen,"Selayang"
Puan Teresa Kok Suh Sim,"Seputeh"
Dato’ Seri Amirudin bin Shari,"Gombak"
Tuan Shaharizukirnain bin Abd Kadir,"Setiu"
Dato’ Haji Shamshulkahar bin Mohd Deli,"Jempol"
Puan Rodiyah binti Sapiee,"Batang Sadong"
Tuan Kalam bin Salan,"Sabak Bernam"
