Tuan Khoo Poay Tiong,Kota Melaka
Perdana Menteri dan Menteri Kewangan [Dato' Seri Anwar bin Ibrahim],Tambun
Dato' Seri Dr. Shahidan bin Kassim,Arau
Dato' Seri Anwar bin Ibrahim,Tambun
Tuan Haji Aminolhuda bin Hassan,Sri Gading
Dato’ Seri Anwar bin Ibrahim,Tambun
Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal,Machang
Dato’ Seri Anwar bin Ibrahim,Tambun
Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal,Machang
Dato’ Seri Anwar bin Ibrahim,Tambun
Tuan Haji Mohd Syahir bin Che Sulaiman,Bachok
Puan Syerleena binti Abdul Rashid,Bukit Bendera
Dato' Seri Anwar bin Ibrahim,Tambun
Tuan Syed Saddiq bin Syed Abdul Rahman,Muar
Dato' Seri Hamzah bin Zainudin,Larut
Puan Hajah Rodziah binti Ismail,Ampang
Dato' Seri Anwar bin Ibrahim,Tambun
Dato’ Seri Dr. Shahidan bin Kassim,Arau
Tuan Roy Angau anak Gingkoi,Lubok Antu
Timbalan Menteri Kerja Raya [Datuk Seri Haji Ahmad bin Haji Maslan],Pontian
Dr. Hajah Halimah Ali,Kapar
Datuk Seri Haji Ahmad bin Haji Maslan,Pontian
Tuan Haji Muhammad Islahuddin bin Abas,Mersing
Timbalan Menteri Belia dan Sukan [Tuan Adam Adli Abd Halim],Hang Tuah Jaya
Tuan Haji Muhammad Islahuddin bin Abas,Mersing
Tuan Adam Adli Abd Halim,Hang Tuah Jaya
Datuk Ir. Shahelmey bin Yahya,Putatan
Tuan Adam Adli Abd Halim,Hang Tuah Jaya
Tuan Oscar Ling Chai Yew,Sibu
Timbalan Menteri Pertanian dan Keterjaminan Makanan [Datuk Arthur Joseph Kurup],Pensiangan
Tuan Oscar Ling Chai Yew,Sibu
Datuk Arthur Joseph Kurup,Pensiangan
Dato' Siti Zailah binti Mohd Yusoff,Rantau Panjang
Datuk Arthur Joseph Kurup,Pensiangan
