Tuan Cha Kee Chin,Rasah
Timbalan Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup [Dr. Hajah Fuziah binti Salleh],Perdagangan Dalam Negeri dan Kos Sara Hidup
Tuan Yang di-Pertua,Dewan Rakyat
Dato' Dr. Zulkafperi bin Hanapi,Tanjong Karang
Dato' Seri Ir. Dr. Ahmad Samsuri bin Mokhtar,Kemaman
Timbalan Menteri Luar Negeri [Datuk Mohamad bin Alamin],Luar Negeri
Dato’ Mohd Isam bin Mohd Isa,Tampin
Dato’ Indera Mohd Shahar bin Abdullah,Paya Besar
Timbalan Menteri Kewangan [Puan Lim Hui Ying],Kewangan
Tuan Haji Mohd Syahir bin Che Sulaiman,Bachok
Datuk Ali anak Biju,Saratok
Timbalan Menteri Peralihan Tenaga dan Transformasi Air [Tuan Haji Akmal Nasrullah bin Mohd Nasir],Peralihan Tenaga dan Transformasi Air
Datuk Seri Utama Ir. Hasni bin Mohammad,Simpang Renggam
Tuan Khoo Poay Tiong,Kota Melaka
Menteri Dalam Negeri [Datuk Seri Saifuddin Nasution bin Ismail],Dalam Negeri
Dr. Haji Abd Ghani bin Ahmad,Jerlun
Puan Young Syefura binti Othman,Bentong
Timbalan Menteri Sumber Asli dan Kelestarian Alam [Dato’ Sri Huang Tiong Sii],Sumber Asli dan Kelestarian Alam
Tuan Mohd Azizi bin Abu Naim,Gua Musang
Dr. Ahmad Fakhruddin bin Fakhrurazi,Kuala Kedah
Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Dato’ Sri Hajah Nancy binti Shukri],Pembangunan Wanita, Keluarga dan Masyarakat
Puan Hajah Rodziah binti Ismail,Ampang
Tuan Mohd Nazri bin Abu Hassan,Merbok
Timbalan Menteri Pengangkutan [Datuk Haji Hasbi bin Haji Habibollah],Pengangkutan
Dato' Muhammad Bakhtiar bin Wan Chik,Balik Pulau
Tuan Chong Chieng Jen,Stampin
Datuk Haji Awang bin Hashim,Pendang
Timbalan Menteri Kerja Raya [Datuk Seri Haji Ahmad bin Haji Maslan],Kerja Raya
Perdana Menteri [Dato’ Seri Anwar bin Ibrahim],Tambun
Seorang Ahli,Ahli Parlimen
Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal,Machang
Tuan Syahredzan bin Johan,Bangi
Tuan Sim Tze Tzin,Bayan Baru
Tuan Tan Kar Hing,Gopeng
Dr. Mohammed Taufiq bin Johari,Sungai Petani
Tuan Haji Onn bin Abu Bakar,Batu Pahat
Tuan Wan Razali bin Wan Nor,Kuantan
Datuk Che Mohamad Zulkifly bin Jusoh,Besut
Dato’ Sri Ikmal Hisham bin Abdul Aziz,Tanah Merah
Beberapa Ahli,Ahli Parlimen
Tuan Haji Abdul Latiff bin Abdul Rahman,Kuala Krai
Tuan Haji Wan Hassan bin Mohd Ramli,Dungun
Dato’ Seri Amirudin bin Shari,Gombak
Tuan Ir. Ts. Zahir bin Hassan,Wangsa Maju
Tuan Ir. Haji Yusuf bin Abd Wahab,Tanjong Manis
Timbalan Yang di-Pertua [Dato’ Dr. Ramli bin Dato’ Mohd Nor],Dewan Rakyat
Tuan Zakri bin Hassan,Kangar
Dato’ Seri Dr. Shahidan bin Kassim,Arau
Dato Anyi Ngau,Baram
Dato’ Abdul Khalib bin Abdullah,Rompin
Tuan Prabakaran a/l M Parameswaran,Batu
Tuan Haji Mohd Misbahul Munir bin Masduki,Parit Buntar
Tuan Sivakumar a/l Varatharaju Naidu,Batu Gajah
Dato’ Sri Sh Mohmed Puzi bin Sh Ali,Pekan
Dato’ Rosol bin Wahid,Hulu Terengganu
Dato’ Adnan bin Abu Hassan,Kuala Pilah
Tuan Kalam bin Salan,Sabak Bernam
Datuk Seri Dr. Ronald Kiandee,Beluran
Dato’ Ngeh Koo Ham,Beruas
Puan Rodiyah binti Sapiee,Batang Sadong
Datuk Seri Panglima Dr. Jeffrey G. Kitingan,Keningau
Puan Teresa Kok Suh Sim,Seputeh
Komander Nordin bin Ahmad Ismail TLDM (B),Lumut
Tuan Suhaizan bin Kaiat,Pulai
Dato’ Sri Dr. Wee Jeck Seng,Tanjong Piai
Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],Dewan Rakyat
Dato’ Siti Zailah binti Mohd Yusoff,Rantau Panjang
Dato’ Sri Saifuddin bin Abdullah,Indera Mahkota
Datuk Jonathan bin Yasin,Ranau
Dr. Siti Mastura binti Muhammad,Kepala Batas
Tuan Mordi anak Bimol,Mas Gading
