Tuan Tan Kar Hing,Gopeng
Perdana Menteri dan Menteri Kewangan, Dato' Seri Anwar bin Ibrahim,Tambun
Datuk Ahmad Amzad bin Mohamed @ Hashim,Kuala Terengganu
Tuan Haji Onn bin Abu Bakar,Batu Pahat
Tuan Syed Saddiq bin Syed Abdul Rahman,Muar
Tuan Riduan bin Rubin,Tenom
Dato’ Hajah Mumtaz binti Md Nawi,Tumpat
Tuan Chow Yu Hui,Raub
Timbalan Menteri Pertanian dan Keterjaminan Makanan, Datuk Arthur Joseph Kurup,Pensiangan
Tuan Haji Jamaludin bin Yahya,Pasir Salak
Tuan Ir. Ts. Haji Khairil Nizam bin Khirudin,Jerantut
Timbalan Menteri Kerja Raya, Datuk Seri Haji Ahmad bin Haji Maslan,Pontian
Dato’ Mohd Isam bin Mohd Isa,Tampin
Dato’ Rosol bin Wahid,Hulu Terengganu
Tuan William Leong Jee Keen,Selayang
Menteri Perumahan dan Kerajaan Tempatan, Tuan Nga Kor Ming,Teluk Intan
Tuan Wan Razali bin Wan Nor,Kuantan
Tuan Kamal bin Ashaari,Kuala Krau
Timbalan Menteri Kemajuan Desa dan Wilayah, Datuk Hajah Rubiah binti Wang,Kota Samarahan
Tuan Ir. Haji Yusuf bin Abd Wahab,Tanjong Manis
Datuk Ir. Shahelmey bin Yahya,Putatan
Menteri Ekonomi, Dato' Seri Mohd Rafizi bin Ramli,Pandan
Datuk Awang bin Hashim,Pendang
Tuan Afnan Hamimi bin Dato' Haji Taib Azamudden,Alor Setar
Timbalan Menteri Belia dan Sukan, Tuan Adam Adli Abd Halim,Hang Tuah Jaya
Timbalan Yang di-Pertua, Puan Alice Lau Kiong Yieng,Lanang
Puan Vivian Wong Shir Yee,Sandakan
Timbalan Menteri Sumber Manusia, Dato’ Sri Abdul Rahman bin Haji Mohamad,Lipis
Tuan Shaharizukirnain bin Abd Kadir,Setiu
Dr. Hajah Halimah Ali,Kapar
Menteri Komunikasi, Tuan Ahmad Fahmi bin Mohamed Fadzil,Lembah Pantai
Tuan Sanisvara Nethaji Rayer a/l Rajaji,Jelutong
Tuan Hassan bin Abdul Karim,Pasir Gudang
Dato’ Sri Doris Sophia anak Brodie,Sri Aman
Timbalan Menteri Kesihatan, Dato Lukanisman bin Awang Sauni,Sibuti
Dato’ Dr. Ahmad Yunus bin Hairi,Kuala Langat
Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi), Tuan M. Kulasegaran,Ipoh Barat
Timbalan Menteri Perumahan dan Kerajaan Tempatan, Datuk Hajah Raj Munni binti Sabu,"-"
Menteri Kewangan (II), Datuk Seri Amir Hamzah Azizan,Senator
Menteri Pendidikan Tinggi, Dato’ Seri Diraja Dr. Zambry bin Abd Kadir,Senator
Dato’ Sri Saifuddin bin Abdullah,Indera Mahkota
Tuan Kesavan a/l Subramaniam,Sungai Siput
Tuan Haji Abdul Latiff bin Abdul Rahman,Kuala Krai
Tuan Haji Mohd Syahir bin Che Sulaiman,Bachok
Dr. Haji Abd Ghani bin Ahmad,Jerlun
Dato’ Muhammad Bakhtiar bin Wan Chik,Balik Pulau
Timbalan Yang di-Pertua, Dato' Dr. Ramli bin Dato' Mohd Nor,Cameron Highlands
Datuk Dr. Radzi bin Jidin,Putrajaya
Menteri Digital, Tuan Gobind Singh Deo,Damansara
Tuan Prabakaran a/l M Parameswaran,Batu
Menteri Kesihatan, Datuk Seri Haji Dr. Dzulkefly bin Ahmad,Kuala Selangor
Tuan Haji Azli bin Yusof,Shah Alam
Dato' Dr. Haji Alias bin Razak,Kuala Nerus
Tuan Khoo Poay Tiong,Kota Melaka
Puan Young Syefura binti Othman,Bentong
Tuan Suhaizan bin Kaiat,Pulai
Tuan Oscar Ling Chai Yew,Sibu
Tuan Rushdan bin Rusmi,Padang Besar
Dato’ Sri Dr. Haji Ismail bin Abd Muttalib,Maran
Tuan Lim Lip Eng,Kepong
Datuk Hajah Siti Aminah binti Aching,Beaufort
Menteri Pembangunan Usahawan dan Koperasi, Datuk Ewon Benedick,Penampang
Datuk Muslimin bin Yahaya,Sungai Besar
Tuan Fathul Huzir bin Ayob,Gerik
Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi), Dato’ Sri Azalina binti Othman Said,Pengerang
Datuk Willie anak Mongin,Puncak Borneo
Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan), Dr. Zaliha binti Mustafa,Sekijang
Timbalan Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama), Dr. Zulkifli bin Hasan,Senator
Dato’ Haji Shamshulkahar bin Mohd Deli,Jempol
